Number,Gender,GivenName,Surname,TelephoneNumber,Birthday,Zodiac,Membership,BloodType,Pounds,Weight,Height,BMI
1236,male,Douglas,Kerr,084 720 6754,5-23-1962,Gemini,01-02-2016,O+,151.4,68.8,185,20.1023
1237,male,Faizan,Wilson,085 498 6188,7-15-1972,Cancer,01-11-2017,O+,197.8,89.9,172,30.388
1238,female,Oksana,Zakharova,083 583 5543,6-27-1971,Cancer,01-09-2020,A+,188.1,85.5,154,36.0516
1239,female,Echezonachukwu,Diribe,085 185 8610,3-29-1979,Aries,01-08-2017,O+,130.7,59.4,174,19.6195
1240,male,Ginga,Murase,085 981 5332,10-03-1979,Libra,01-06-2017,O-,220.9,100.4,179,31.3349
1241,male,Muslim,Butusov,082 212 7330,04-05-1987,Aries,01-06-2018,A+,203.7,92.6,171,31.6679
1242,male,Manchu,Kao,084 398 2369,11-11-1956,Scorpio,01-10-2018,A+,215.6,98,169,34.3125
1243,male,Joe,Hill,084 465 9266,10-19-1967,Libra,01-04-2017,AB+,235.8,107.2,179,33.4571
1244,female,Sophie,McHale,085 590 6881,3-13-1952,Pisces,01-12-2018,A+,157.3,71.5,152,30.947
1245,male,Dean,O'Loghlin,082 348 8254,12-11-1952,Sagittarius,01-01-2016,A+,202.8,92.2,172,31.1655
1246,female,Jiao,Tao,085 188 8931,07-05-1958,Cancer,01-01-2017,B+,139.9,63.6,163,23.9377
1247,female,Hui Ying,Lin,083 446 9055,10-09-1980,Libra,01-11-2016,O+,167.6,76.2,168,26.9983
1248,male,Justin,Leitch,085 526 5505,02-02-1989,Aquarius,01-01-2019,O+,132.2,60.1,183,17.9462
1249,male,Ning,Lo,084 337 5868,8-28-1955,Virgo,01-10-2017,B+,234.7,106.7,171,36.4899
1250,male,Lei,Fu,085 486 0126,8-18-1961,Leo,01-10-2016,O+,215.4,97.9,183,29.2335
1251,female,Patrycja,Wright,083 163 0081,05-05-1984,Taurus,01-08-2020,O+,204.4,92.9,169,32.5269
1252,male,Chung,Wu,084 895 4543,06-03-1957,Gemini,01-08-2018,B+,226.4,102.9,167,36.8963
1253,male,Ning,Ts'ao,085 569 8690,02-06-1954,Aquarius,01-01-2019,O+,154,70,171,23.939
1254,male,Eisuke,Satou,082 829 0474,3-17-1953,Pisces,01-09-2019,A+,206.1,93.7,184,27.676
1255,male,Timothy,Clark-Duff,082 765 3804,03-05-1981,Pisces,01-08-2019,B+,193.6,88,187,25.1651
1256,female,Obialo,Chukwubuikem,085 268 4267,05-08-1967,Taurus,01-07-2017,O+,120.3,54.7,157,22.1916
1257,female,Julia,Davidson,082 562 0620,09-01-1949,Virgo,01-07-2017,A+,186.1,84.6,158,33.8888
1258,male,Proclus,Biryukov,083 718 1597,06-05-1985,Gemini,01-10-2017,O+,159.7,72.6,181,22.1605
1259,male,Kaita,Nozawa,084 602 8212,08-08-1979,Leo,01-01-2018,B+,181.1,82.3,178,25.9753
1260,female,Sophie,Short,083 898 1514,7-20-1991,Cancer,01-03-2016,O+,173.6,78.9,170,27.301
1261,female,Elsa,Paterson,082 830 9663,10-22-1955,Libra,01-08-2017,B+,143.9,65.4,152,28.3068
1262,female,Olga,Vorobyova,084 722 7446,6-23-1958,Cancer,01-08-2016,B+,212.3,96.5,164,35.8789
1263,female,Ailie,Reid,085 381 0189,3-15-1974,Pisces,01-09-2017,AB+,127.8,58.1,166,21.0843
1264,male,Ruben,Golubov,085 317 0837,2-25-1956,Pisces,01-11-2018,A+,216.9,98.6,168,34.9348
1265,male,Barnaba,Zetticci,085 242 7448,1-17-1994,Capricorn,01-02-2018,A+,172.3,78.3,176,25.2776
1266,male,Egidio,Piccio,084 194 9097,09-02-1964,Virgo,01-10-2019,A+,167.9,76.3,173,25.4937
1267,male,Onwudiwe,Okagbue,085 792 4182,11-21-1968,Scorpio,01-03-2020,A+,238.9,108.6,181,33.1492
1268,male,Sheng,Wang,085 868 1224,05-07-1976,Taurus,01-12-2017,A+,182.6,83,167,29.7608
1269,female,Chizuko,Moriyama,083 915 9385,12-24-1967,Capricorn,01-09-2019,O+,211.4,96.1,172,32.4838
1270,female,Jeanmarie,Molina,082 394 7436,01-04-1983,Capricorn,01-08-2017,B+,215.8,98.1,159,38.8038
1271,female,Tonya,Coleman,085 603 2651,5-26-1994,Gemini,01-03-2016,O+,166.8,75.8,157,30.7518
1272,female,Ifesinachi,Ebelegbulam,082 354 1590,10-09-1986,Libra,01-09-2018,A+,112.4,51.1,162,19.4711
1273,male,Luca,Barber,082 742 3722,4-30-1983,Taurus,01-06-2016,A+,147,66.8,189,18.7005
1274,female,Tegan,Thomas,082 114 4962,06-10-1966,Gemini,01-03-2017,O+,187.9,85.4,170,29.5502
1275,male,Joe,Parker,085 468 8269,09-11-1957,Virgo,01-10-2017,O+,238.9,108.6,167,38.9401
1276,male,Zula,Aziz,085 351 0020,08-02-1970,Leo,01-07-2017,B+,198.4,90.2,181,27.5327
1277,male,Leighton,Henderson,085 118 9408,5-20-1981,Taurus,01-07-2019,A-,192.3,87.4,178,27.5849
1278,female,Santina,Pinto,085 996 7975,9-23-1965,Libra,01-07-2016,A+,211.2,96,165,35.2617
1279,male,Joel,Pardey,083 916 5317,5-18-1964,Taurus,01-05-2019,B+,204.2,92.8,179,28.9629
1280,male,Hui,Yang,082 741 8881,9-16-1977,Virgo,01-03-2020,B+,173.1,78.7,179,24.5623
1281,male,Edward,Fleming,083 459 1376,05-10-1980,Taurus,01-04-2019,O+,188.5,85.7,184,25.3131
1282,male,Teruyoshi,Eguchi,082 273 0621,06-07-1982,Gemini,01-02-2018,B+,226.8,103.1,180,31.821
1283,male,Liang,Ch'en,084 679 8455,8-18-1954,Leo,01-08-2018,O-,208.8,94.9,187,27.1383
1284,male,Gabriel,Elias,082 759 9310,5-20-1970,Taurus,01-01-2017,O+,214.9,97.7,170,33.8062
1285,male,Brendan,Murphy,084 973 1903,11-27-1965,Sagittarius,01-06-2020,A+,237.4,107.9,178,34.055
1286,male,Taj,Ley,083 401 2851,06-01-1956,Gemini,01-08-2017,A-,196.2,89.2,175,29.1265
1287,male,Guang,Chiang,083 463 0970,12-30-1955,Capricorn,01-08-2016,O+,156.9,71.3,173,23.823
1288,female,Maya,Nicholson,082 472 2142,12-31-1981,Capricorn,01-01-2020,B+,167,75.9,158,30.4038
1289,female,Yue Wan,K'ung,083 662 4295,11-28-1993,Sagittarius,01-06-2016,A+,213.4,97,163,36.5087
1290,male,An,Wu,085 305 2385,12-04-1965,Sagittarius,01-12-2016,B+,214.5,97.5,185,28.4879
1291,male,Ildar,Ibrahimov,083 360 7781,05-11-1956,Taurus,01-07-2016,O+,204.8,93.1,168,32.9861
1292,female,Myra,Alekseyeva,084 123 6528,06-12-1969,Gemini,01-05-2020,A+,233,105.9,163,39.8585
1293,male,Xiong,Tien,082 596 1329,5-26-1970,Gemini,01-06-2016,O+,234.5,106.6,171,36.4557
1294,female,Hua,Y?,084 258 9743,5-20-1967,Taurus,01-02-2017,B+,231.9,105.4,168,37.3441
1295,male,Harrison,Nolan,084 340 9987,12-19-1988,Sagittarius,01-11-2018,O+,175.1,79.6,186,23.0084
1296,male,Ugorji,Ibeamaka,082 152 2855,09-11-1961,Virgo,01-01-2019,A+,141.2,64.2,173,21.4508
1297,female,Riya,Tsuda,084 359 9278,04-12-1968,Aries,01-04-2018,A+,151.6,68.9,171,23.5628
1298,male,Pantaleone,Fiorentino,085 323 7127,12-11-1968,Sagittarius,01-11-2017,O+,168.3,76.5,173,25.5605
1299,female,Alica,Cunneen,082 248 4213,06-12-1967,Gemini,01-06-2019,O-,188.8,85.8,169,30.041
1300,male,Tain,Hao,082 661 7901,7-13-1966,Cancer,01-08-2019,A+,206.4,93.8,187,26.8238
1301,male,Zac,Crawford,084 925 7536,11-23-1988,Sagittarius,01-02-2018,AB+,218.5,99.3,185,29.0139
1302,male,Medardo,Lombardo,085 418 4214,09-12-1979,Virgo,01-04-2017,O+,154.4,70.2,189,19.6523
1303,female,Christina,Eddy,083 247 9711,7-30-1961,Leo,01-08-2018,O+,204.2,92.8,164,34.5033
1304,male,Zossima,Ponomaryov,082 768 2679,8-13-1957,Leo,01-08-2019,B+,140.8,64,172,21.6333
1305,male,Eyob,Yohannes,082 318 1525,1-19-1991,Capricorn,01-10-2018,O+,194,88.2,186,25.4943
1306,female,Li Rong,Yin,082 791 4007,7-17-1990,Cancer,01-06-2018,B+,158,71.8,156,29.5036
1307,female,Abby,Andrew,082 845 6565,08-05-1983,Leo,01-11-2020,O+,158.8,72.2,163,27.1745
1308,male,Sumio,Takamatsu,083 978 4424,10-20-1972,Libra,01-03-2019,A+,153.6,69.8,180,21.5432
1309,male,Katsuaki,Kaai,085 503 3068,12-05-1964,Sagittarius,01-12-2016,O+,234.3,106.5,175,34.7755
1310,female,Semrawit,Tesmi,084 535 2231,3-28-1962,Aries,01-11-2016,B+,118.6,53.9,163,20.2868
1311,female,Beth,Shah,083 714 1482,10-20-1981,Libra,01-11-2018,O+,140.1,63.7,166,23.1166
1312,female,Hyiab,Sayid,084 876 4558,6-24-1984,Cancer,01-12-2018,O+,118.4,53.8,159,21.2808
1313,male,Jack,Goodwin,085 830 4638,1-22-1989,Aquarius,01-07-2018,AB-,216.5,98.4,176,31.7665
1314,male,Egor,Yuriev,083 687 7137,3-19-1972,Pisces,01-08-2016,B+,222,100.9,185,29.4814
1315,male,Lawrence,Ponomaryov,085 558 2777,12-01-1970,Sagittarius,01-07-2017,B-,166.5,75.7,178,23.8922
1316,male,Selassie,Daniel,083 738 1017,11-17-1963,Scorpio,01-01-2019,O+,195.6,88.9,175,29.0286
1317,male,Hilarion,Matveyev,082 763 6835,03-12-1956,Pisces,01-08-2018,AB+,249.5,113.4,172,38.3315
1318,male,Farhan,Fleming,082 436 4020,07-04-1964,Cancer,01-10-2020,O+,162.8,74,172,25.0135
1319,female,Paige,Nash,084 249 6541,7-31-1962,Leo,01-01-2016,O+,188.5,85.7,172,28.9684
1320,male,Aaron,Fletcher,082 491 8067,10-24-1965,Scorpio,01-12-2017,A+,154.9,70.4,185,20.5698
1321,male,Oscar,Matthews,085 429 9664,2-25-1978,Pisces,01-10-2018,O+,156.4,71.1,183,21.2309
1322,male,Joe,Murray,085 767 0751,11-14-1985,Scorpio,01-03-2020,A+,184.6,83.9,181,25.6097
1323,male,Peng,Shen,082 240 1124,7-18-1950,Cancer,01-10-2018,B+,211.2,96,181,29.3031
1324,male,Daryl,Graham,083 348 7780,1-15-1952,Capricorn,01-11-2018,O+,169.4,77,175,25.1429
1325,male,Fraser,Clark,083 397 4238,05-03-1975,Taurus,01-07-2016,B+,225.3,102.4,177,32.6854
1326,male,Kuan-Yin,H?,085 443 0606,09-01-1958,Virgo,01-06-2016,B+,162.4,73.8,173,24.6584
1327,male,Kidane,Nasih,084 272 8247,10-20-1969,Libra,01-10-2016,B+,257.2,116.9,171,39.9781
1328,male,Lisandro,De Luca,082 278 6546,04-11-1985,Aries,01-08-2018,B+,187.9,85.4,174,28.2072
1329,male,Declan,Todd,085 792 9739,07-03-1992,Cancer,01-10-2018,O+,224.4,102,171,34.8825
1330,female,Kayleigh,Brookes,085 473 9495,12-26-1967,Capricorn,01-11-2020,B+,208.6,94.8,167,33.9919
1331,female,Iole,Greco,083 359 5363,03-09-1979,Pisces,01-11-2019,A+,154,70,154,29.5159
1332,male,Gouki,Tenno,082 242 3345,4-13-1990,Aries,01-01-2016,B+,218.9,99.5,172,33.633
1333,male,James,Miller,082 445 7819,1-21-1979,Aquarius,01-07-2017,O+,233.4,106.1,183,31.682
1334,male,Rufino,Sabbatini,084 816 2558,1-26-1970,Aquarius,01-06-2019,B+,234.5,106.6,179,33.2699
1335,female,Jing,H?,084 185 0431,7-16-1950,Cancer,01-03-2017,A+,216,98.2,159,38.8434
1336,male,Atsuto,Sahaku,085 410 0802,06-12-1958,Gemini,01-03-2019,O+,192.7,87.6,184,25.8743
1337,female,Juan,He,085 179 0267,2-13-1959,Aquarius,01-04-2019,O+,112.2,51,170,17.6471
1338,female,Vanna,Gallo,082 437 0353,5-18-1953,Taurus,01-09-2017,A+,171.4,77.9,153,33.2778
1339,male,Hagos,Ermias,085 278 9428,10-30-1983,Scorpio,01-05-2016,B+,219.8,99.9,189,27.9667
1340,male,Connor,Rees,084 597 9358,8-28-1968,Virgo,01-03-2019,B+,196.5,89.3,178,28.1846
1341,male,Fergus,Douglas,085 370 5968,4-16-1987,Aries,01-07-2016,B+,178.4,81.1,174,26.7869
1342,male,Richard,Vaca,082 604 7357,7-28-1982,Leo,01-07-2019,A-,179.3,81.5,180,25.1543
1343,female,Constance,Reilly,083 345 4067,7-25-1959,Leo,01-07-2016,O+,214.1,97.3,165,35.7392
1344,male,Nazar,Pokrovski,082 764 6816,11-04-1978,Scorpio,01-06-2019,O+,246,111.8,172,37.7907
1345,female,Aimee,Martin,084 564 7519,3-27-1959,Aries,01-03-2020,A+,202.6,92.1,171,31.4969
1346,male,Cameron,Lynch,084 325 8457,10-11-1975,Libra,01-10-2016,O+,156.9,71.3,183,21.2906
1347,male,Sumiaki,Rin,082 875 7963,06-05-1978,Gemini,01-04-2019,A+,142.8,64.9,178,20.4835
1348,male,Salvatore,Cremonesi,085 410 3592,1-27-1956,Aquarius,01-06-2018,A+,168.1,76.4,175,24.9469
1349,male,Charles,Duncan,082 415 8495,1-20-1956,Aquarius,01-09-2019,A-,170.5,77.5,181,23.6562
1350,male,Fernando,Reyes,084 157 3061,05-10-1971,Taurus,01-06-2020,B+,245.1,111.4,174,36.7948
1351,female,Nebyat,Rezene,084 250 3981,4-24-1985,Taurus,01-06-2019,O+,161.9,73.6,160,28.75
1352,female,Samantha,Everingham,082 296 9798,10-14-1993,Libra,01-06-2017,B-,127.4,57.9,168,20.5145
1353,male,Ho,Chen,082 399 5410,12-25-1966,Capricorn,01-03-2016,O+,158.6,72.1,180,22.2531
1354,male,Fai,Kao,083 209 7439,11-22-1959,Sagittarius,01-03-2017,O+,171.6,78,169,27.31
1355,female,Kayla,Teece,085 530 4421,3-21-1984,Aries,01-11-2017,A-,139.9,63.6,157,25.8023
1356,male,Thomas,Blackwell,085 360 5060,01-06-1972,Capricorn,01-01-2016,A+,171.6,78,178,24.6181
1357,male,Uranio,Siciliani,082 648 0451,12-14-1986,Sagittarius,01-11-2019,B+,132.2,60.1,169,21.0427
1358,male,William,Robinson,085 970 3412,10-15-1972,Libra,01-04-2020,O-,173.8,79,168,27.9904
1359,male,Reiss,MacDonald,083 307 2455,10-31-1980,Scorpio,01-07-2020,O+,223.5,101.6,179,31.7094
1360,male,Ejimofor,Onyemachukwu,085 129 3588,9-21-1960,Virgo,01-02-2018,B+,194.9,88.6,166,32.1527
1361,male,Taj,Laidlaw,082 805 0514,06-01-1969,Gemini,01-04-2018,O+,206.4,93.8,174,30.9816
1362,male,Achebe,Chibugo,084 266 5204,01-04-1990,Capricorn,01-03-2019,O+,191.2,86.9,175,28.3755
1363,male,Igor,Buccho,084 711 3475,10-11-1992,Libra,01-11-2016,A+,180.6,82.1,169,28.7455
1364,female,Samantha,Bindon,083 473 3488,7-15-1993,Cancer,01-05-2020,O+,128.5,58.4,163,21.9805
1365,male,Thomas,Murakami,085 858 1830,6-15-1962,Gemini,01-11-2017,A+,191.6,87.1,184,25.7266
1366,male,Kong,Lei,084 753 4401,09-05-1949,Virgo,01-07-2019,O+,203.5,92.5,177,29.5254
1367,male,Medhanie,Semere,083 293 5502,09-03-1965,Virgo,01-12-2017,O+,183.5,83.4,177,26.6207
1368,female,Arielle,Maze,082 288 3858,1-18-1976,Capricorn,01-09-2018,O+,118.8,54,166,19.5965
1369,male,Edward,Ponomaryov,082 760 5818,1-18-1959,Capricorn,01-05-2020,O+,161.7,73.5,166,26.673
1370,female,Alannah,Hanna,082 207 3595,9-26-1950,Libra,01-05-2017,A+,124.5,56.6,166,20.54
1371,male,Seijun,Nimiya,085 171 3600,05-12-1953,Taurus,01-07-2020,A+,246,111.8,172,37.7907
1372,male,Robert,Warf,083 546 7120,06-12-1955,Gemini,01-01-2017,A+,249.5,113.4,181,34.6143
1373,male,Michael,Maslov,082 879 0914,12-24-1967,Capricorn,01-08-2017,O+,231.2,105.1,184,31.0432
1374,male,Fiorenzo,Conti,083 343 4567,2-17-1971,Aquarius,01-10-2016,B+,203.7,92.6,189,25.9231
1375,female,Lia,Douglas,082 983 1855,5-13-1962,Taurus,01-10-2019,AB+,228.4,103.8,161,40.0448
1376,male,Long,Y?,083 523 6198,4-14-1988,Aries,01-02-2019,O+,158.6,72.1,173,24.0903
1377,male,Hamza,Kennedy,083 296 8480,12-28-1951,Capricorn,01-05-2018,A+,165.4,75.2,182,22.7026
1378,male,Girmay,Luwam,083 661 0608,7-28-1957,Leo,01-11-2020,AB+,231.2,105.1,177,33.5472
1379,male,Hui,Lai,084 745 6735,5-16-1956,Taurus,01-10-2018,B+,222.9,101.3,187,28.9685
1380,male,Murdo,Stewart,083 629 3962,03-10-1971,Pisces,01-02-2018,A+,252.3,114.7,169,40.1597
1381,male,Awate,Semere,083 536 0264,12-01-1963,Sagittarius,01-03-2020,B+,224.6,102.1,187,29.1973
1382,female,Leah,Humphreys,084 733 2167,4-17-1973,Aries,01-09-2019,A+,189.4,86.1,164,32.0122
1383,male,Mohammed,Simmons,082 584 4353,5-21-1981,Gemini,01-11-2016,O+,220.4,100.2,184,29.5959
1384,female,Dehab,Mustafa,082 828 6837,3-31-1979,Aries,01-05-2016,B+,178.9,81.3,171,27.8034
1385,female,Helena,Fraser,082 817 8871,9-23-1950,Libra,01-06-2016,O+,207.7,94.4,156,38.7903
1386,female,Kibra,Yemane,083 591 7384,8-20-1951,Leo,01-01-2020,AB+,125.4,57,155,23.7253
1387,female,Xiang,P'eng,084 891 8727,5-27-1987,Gemini,01-12-2016,O+,130.7,59.4,161,22.9158
1388,female,Erica,Miller,084 823 8779,06-03-1970,Gemini,01-08-2017,A+,127.6,58,170,20.0692
1389,male,Bailey,Giles,082 540 1814,9-23-1960,Libra,01-09-2016,A+,154.2,70.1,185,20.4821
1390,female,Abby,Longford,083 561 5001,7-31-1973,Leo,01-01-2020,O+,112,50.9,164,18.9247
1391,male,Abazu,Chimaoke,085 951 4903,05-04-1959,Taurus,01-07-2016,O+,202.8,92.2,174,30.4532
1392,male,Iggi,Efrem,082 599 0477,1-20-1956,Aquarius,01-11-2016,B+,217.4,98.8,186,28.5582
1393,male,Lukasz,Muir,082 824 2745,1-21-1952,Aquarius,01-09-2016,O+,181.5,82.5,178,26.0384
1394,male,Giona,Moretti,084 917 4843,01-10-1984,Capricorn,01-07-2019,A+,182.2,82.8,189,23.1796
1395,male,Naozumi,Taue,083 479 7118,5-25-1964,Gemini,01-12-2017,A+,143.2,65.1,166,23.6246
1396,female,Iva,Baker,082 153 6866,2-20-1969,Pisces,01-04-2020,AB+,221.3,100.6,167,36.0716
1397,male,Medhane,Brhane,084 595 0695,5-31-1972,Gemini,01-01-2020,O+,209.4,95.2,172,32.1796
1398,female,Uchenna,Chidinma,084 588 4496,08-05-1970,Leo,01-05-2016,B+,194.7,88.5,172,29.9148
1399,male,Neftalem,Medhanie,083 391 4648,5-20-1963,Taurus,01-06-2016,B+,180.2,81.9,185,23.9299
1400,female,Lexie,Fraser,082 271 9973,11-09-1963,Scorpio,01-03-2019,O+,117.7,53.5,167,19.1832
1401,male,Thomas,Thomas,083 835 5412,3-27-1952,Aries,01-07-2020,O+,189.6,86.2,165,31.6621
1402,female,Isabella,Bocharova,082 515 1045,01-10-1964,Capricorn,01-11-2017,A+,185.2,84.2,159,33.3056
1403,female,Marie,Freedman,085 616 5951,8-27-1950,Virgo,01-02-2017,A+,155.8,70.8,153,30.2448
1404,female,Muse,Blinova,084 592 6900,5-23-1956,Gemini,01-03-2016,B+,172,78.2,172,26.4332
1405,male,Shing,T'an,084 713 4132,5-19-1982,Taurus,01-10-2020,B+,202.6,92.1,172,31.1317
1406,male,Obiora,Buchi,082 479 4053,3-25-1956,Aries,01-11-2020,AB+,178.4,81.1,177,25.8866
1407,male,Rhys,Barnes,083 835 7952,07-11-1970,Cancer,01-09-2020,O+,145.4,66.1,180,20.4012
1408,male,Stanislav,Vasiliev,085 456 0673,1-27-1960,Aquarius,01-01-2017,A+,221.8,100.8,178,31.8142
1409,male,James,Pringle,083 348 4492,06-06-1984,Gemini,01-06-2018,B+,243.5,110.7,176,35.7373
1410,female,Alannah,Bear,085 621 3875,3-14-1985,Pisces,01-01-2018,A-,169,76.8,161,29.6285
1411,female,Makda,Futsum,085 646 5073,9-23-1953,Libra,01-03-2020,O+,202.4,92,158,36.8531
1412,male,Joe,Clayton,083 622 2907,4-20-1955,Taurus,01-12-2018,O+,189,85.9,171,29.3766
1413,male,Gianetto,Barese,082 336 7215,06-04-1985,Gemini,01-01-2020,O+,213,96.8,177,30.8979
1414,female,Makda,Ali,083 763 2818,04-09-1980,Aries,01-04-2018,O+,215.6,98,160,38.2813
1415,male,Mohammad,Conway,082 222 4752,10-18-1956,Libra,01-06-2016,A+,189,85.9,173,28.7013
1416,male,Hiroo,Shinden,084 139 5600,11-17-1973,Scorpio,01-03-2018,B+,253.4,115.2,172,38.94
1417,male,Spiridon,Tretiakov,082 664 3059,12-31-1980,Capricorn,01-11-2019,B+,163.2,74.2,170,25.6747
1418,male,Ming,T'ao,084 557 4267,04-09-1970,Aries,01-12-2017,B+,155.3,70.6,185,20.6282
1419,female,Sonoko,Hirota,084 916 7035,2-28-1950,Pisces,01-08-2017,B+,140.8,64,172,21.6333
1420,female,Huriyyah,Amanuel,083 886 6128,11-29-1970,Sagittarius,01-01-2018,O+,157.7,71.7,165,26.3361
1421,male,Vincent,Forbes,083 463 6273,06-10-1980,Gemini,01-09-2016,A+,152.5,69.3,186,20.0312
1422,male,Gordey,Bazarov,084 256 9518,2-20-1955,Pisces,01-02-2019,B+,158,71.8,176,23.1792
1423,female,Deodata,Romani,082 998 4755,1-14-1953,Capricorn,01-01-2019,O-,126.9,57.7,165,21.1938
1424,male,Berhane,Goytiom,085 289 5563,07-09-1968,Cancer,01-03-2018,B+,184.8,84,169,29.4107
1425,female,Sarah,Upshaw,083 833 1408,03-05-1960,Pisces,01-07-2018,O+,135.3,61.5,162,23.4339
1426,male,Lok,Tuan,083 940 0042,08-05-1953,Leo,01-08-2020,A+,243.3,110.6,173,36.9541
1427,female,Li Rong,Ma,083 126 1594,02-12-1955,Aquarius,01-04-2017,A+,152.9,69.5,155,28.9282
1428,male,Romolo,Iadanza,082 884 0979,03-03-1962,Pisces,01-03-2017,O+,238.7,108.5,188,30.6983
1429,female,Courtney,Steele,085 448 8801,4-29-1990,Taurus,01-04-2018,A+,198.2,90.1,165,33.0946
1430,female,Jose,Woodmansee,083 765 2441,1-14-1981,Capricorn,01-02-2019,O+,222.2,101,163,38.0142
1431,female,Eulalia,Toscano,085 455 3661,3-14-1968,Pisces,01-08-2017,B+,121.9,55.4,154,23.3598
1432,female,Alina,Duncan,084 709 9480,11-22-1963,Sagittarius,01-10-2019,A+,139.3,63.3,164,23.5351
1433,male,Idris,Aatifa,084 646 4654,12-18-1972,Sagittarius,01-03-2020,O+,200.6,91.2,175,29.7796
1434,male,Xenophon,Bezrukov,083 521 9829,09-02-1977,Virgo,01-12-2020,A+,217.6,98.9,173,33.0449
1435,female,Patrycja,Milne,084 386 1918,11-28-1957,Sagittarius,01-10-2018,A+,219.1,99.6,162,37.9515
1436,male,Chen,Ts'ao,085 303 5482,11-21-1987,Scorpio,01-10-2020,O+,221.3,100.6,181,30.7072
1437,male,David,Forehand,084 804 0418,09-06-1991,Virgo,01-04-2017,A+,217.4,98.8,184,29.1824
1438,male,Patrick,Woodward,083 772 9011,01-03-1982,Capricorn,01-11-2020,B+,239.1,108.7,182,32.8161
1439,female,Sarah,Marlow,082 858 7921,10-27-1954,Scorpio,01-01-2017,O+,200.2,91,169,31.8616
1440,male,Faizan,King,083 717 2236,03-03-1977,Pisces,01-07-2018,B+,204.6,93,173,31.0735
1441,male,Quarantino,Barese,083 180 7299,2-15-1953,Aquarius,01-11-2016,A+,208.1,94.6,173,31.6081
1442,female,Genet,Awate,083 468 3876,3-20-1958,Pisces,01-04-2017,B+,152.7,69.4,172,23.4586
1443,male,Taj,Mawson,082 391 8686,5-16-1956,Taurus,01-09-2016,AB+,141,64.1,178,20.231
1444,female,Ukamaka,Ginikanwa,083 611 3025,03-09-1973,Pisces,01-04-2020,AB+,132.7,60.3,163,22.6956
1445,female,Mahomi,Fukuhara,082 404 2001,10-29-1949,Scorpio,01-04-2018,A+,153.1,69.6,168,24.6599
1446,male,Kenenna,Ugorji,084 144 6529,3-14-1965,Pisces,01-03-2019,B+,214.5,97.5,168,34.5451
1447,male,Tain,T'an,083 252 5402,6-20-1964,Gemini,01-05-2020,B+,163.7,74.4,169,26.0495
1448,male,Proclus,Andrejew,082 115 2860,04-02-1961,Aries,01-11-2017,A+,232.5,105.7,170,36.5744
1449,female,Isabella,Esposito,083 367 5367,3-21-1955,Aries,01-01-2019,O+,216.7,98.5,161,38.0001
1450,female,Obielumani,Uchechukwu,085 805 4192,05-08-1971,Taurus,01-12-2017,O+,182.8,83.1,154,35.0396
1451,female,Margo,Jones,082 731 7189,07-06-1970,Cancer,01-04-2016,A-,209,95,165,34.8944
1452,male,Oran,Mackenzie,084 474 5970,4-20-1952,Taurus,01-05-2016,O+,219.6,99.8,174,32.9634
1453,male,Lauchlan,Crawford,085 979 2408,7-24-1952,Leo,01-04-2018,AB+,143.9,65.4,171,22.3659
1454,female,Fang Yin,Liao,084 556 8257,8-23-1963,Virgo,01-10-2020,B+,123.2,56,169,19.6072
1455,female,Rong,Yen,085 345 8281,10-02-1951,Libra,01-11-2017,B+,140.4,63.8,159,25.2363
1456,male,Filmon,Samuel,084 232 1820,4-21-1986,Taurus,01-12-2020,A+,181.3,82.4,181,25.1519
1457,female,Lily,Watt,084 647 9552,12-31-1975,Capricorn,01-04-2016,O-,199.3,90.6,162,34.5222
1458,female,Zoe,Kibble,083 124 1357,5-16-1967,Taurus,01-02-2019,A+,165.4,75.2,165,27.6217
1459,female,Takako,Kojima,082 900 5352,7-31-1974,Leo,01-09-2018,O+,205,93.2,174,30.7835
1460,male,Myron,Tokaryev,085 777 9328,11-19-1963,Scorpio,01-08-2019,O+,210.3,95.6,166,34.693
1461,male,George,Josephson,083 161 8738,06-09-1974,Gemini,01-07-2016,O+,215.4,97.9,173,32.7107
1462,male,Abelino,Costa,083 362 2593,9-19-1950,Virgo,01-11-2016,A+,202.2,91.9,174,30.3541
1463,female,Nkediniruka,Nweke,082 368 8386,4-28-1978,Taurus,01-03-2019,B+,159.5,72.5,175,23.6735
1464,male,Simon,Nekrasov,085 814 6429,10-15-1979,Libra,01-08-2018,O+,235.6,107.1,186,30.9573
1465,female,Stepanida,Aksenova,085 491 8735,5-14-1986,Taurus,01-05-2016,A+,138.2,62.8,167,22.5178
1466,female,Kimiko,Hiraoka,085 179 5133,5-22-1951,Gemini,01-08-2020,A+,165.9,75.4,164,28.0339
1467,male,Yusuf,Clark,084 890 7929,03-06-1967,Pisces,01-02-2018,O-,192.1,87.3,173,29.169
1468,male,Alcide,Davide,082 933 1335,07-11-1981,Cancer,01-01-2019,A+,160.2,72.8,173,24.3242
1469,male,Thomas,Gibbs,084 833 3666,02-04-1992,Aquarius,01-06-2018,A+,167,75.9,189,21.248
1470,male,Bradley,Ford,085 674 2820,9-13-1968,Virgo,01-11-2019,O+,157.1,71.4,187,20.4181
1471,male,Yasunari,Ookawa,083 978 9118,6-23-1992,Cancer,01-07-2016,O+,196.5,89.3,186,25.8122
1472,male,Yuan,P'an,082 412 5060,06-10-1975,Gemini,01-11-2019,O+,178.4,81.1,167,29.0796
